,type,vm_pu,gen_p_pu,gen_q_pu,load_p_pu,load_q_pu,sgen_p_pu,sgen_q_pu,slack_weight
10,2,1.0,0.020516777923383717,,4.090083956578346,1.3443455853743782,1.7239832496091743,0.0,0
11,2,1.0,4.8699515895860035,,1.9025178223815475,0.6253273680363184,0.10696682960882754,0.0,0
12,2,1.0,5.246910668192649,,2.8078768338889915,0.9229044845992627,2.1451387392176553,0.0,0
13,2,1.0,0.007035946487629945,,1.1592181289647263,0.3810165734258871,1.2675057696088274,0.0,0
14,2,1.0,0.006547685400219914,,1.545624361555439,0.5080221602205013,0.0,0.0,0
15,2,1.0,0.02761026933442575,,2.2224635437606732,0.7304884411736221,1.1368528596088276,0.0,0
16,2,1.0,0.2499999996088276,,3.12242391973317,1.0262911120465756,0.0,0.0,0
17,3,,0.0,,7.674300384563196,2.52242055477396,0.2651191896088276,0.0,0
18,2,1.0,0.014195859993254664,,0.0,0.0,0.0,0.0,0
19,3,,0.0,,2.4849739671664466,0.8167714447908733,0.0,0.0,0
20,3,,0.0,,0.0,0.0,0.0,0.0,0
21,2,1.0,15.82140609414877,,0.0,0.0,5.946177329608829,0.0,0
22,2,1.0,7.57351554136575,,9.991511043170657,3.284050866609278,2.01433225960921,0.0,0
23,2,1.0,0.2370695960352833,,1.2375207260713779,0.40675339248906794,0.0,0.0,0
24,2,1.0,0.006736108859400176,,1.8483050560754393,0.6075084934537244,0.0,0.0,0
25,2,1.0,0.013648226004910584,,1.6197878403052846,0.5323985168703459,1.6552290596088275,0.0,0
26,2,1.0,0.006607856683107875,,7.349169313734501,2.4155551396927843,0.5964763196092135,0.0,0
27,3,,0.0,,0.0,0.0,0.0,0.0,0
28,2,1.0,18.044128051543346,,1.9320305941461517,0.6350277470151153,0.0,0.0,0
29,2,1.0,6.512923932390168,,12.971665115635238,4.263580141212443,0.7353486992176553,0.0,0
30,2,1.0,0.013961468889839788,,3.207991325102482,1.054415758112865,0.0,0.0,0
31,3,,0.0,,1.4039384169444957,0.46145224229963133,0.0,0.0,0
32,3,,0.0,,12.399132046565244,4.075397621719864,0.3481326296088276,0.0,0
