p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw
583.92663,127.181986,118.23069,105.746974,118.741222,165.055317,138.289985,258.767899,71.655223,38.725277,299.748803,308.247278,284.47883,591.918668,68.136154,205.296102,186.569505,20.221729,38.990857,11.150424,188.738751,30.86378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590.446021,127.89503,118.42594,105.841165,118.300763,166.172873,136.727132,253.09574,69.321381,41.637921,298.447216,306.748126,276.803767,581.989329,65.404217,205.845627,186.786795,19.782591,38.05883,10.761698,183.824143,30.235054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593.969252,128.104764,117.974642,105.157327,117.387571,167.206718,134.439204,245.643681,67.172194,45.439456,294.678777,304.023549,270.574449,569.641267,62.793373,206.063428,186.252454,19.379232,37.186898,10.345825,178.394533,29.288267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595.848252,127.96416,117.308455,104.226145,116.034498,167.605481,131.834029,237.665246,64.782798,48.0535,289.755944,300.783014,262.618898,556.263396,59.85169,205.669356,184.741358,18.997887,36.184161,10.012773,172.545035,28.02917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595.202089,127.888634,117.086652,103.878306,114.920382,167.527742,129.795032,231.181898,63.483954,51.076604,287.125365,299.400385,259.041063,543.81192,57.312798,204.643664,183.542941,18.566416,35.158265,9.710232,169.691086,27.394119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593.277826,127.795794,116.825574,103.566307,114.449009,167.289858,128.804464,228.08216,61.27637,52.73777,285.50142,298.040883,253.528229,536.593701,56.741623,203.912304,183.255054,18.440519,34.790806,9.461229,166.025372,27.363706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589.620632,127.467563,116.01294,102.448267,112.60689,166.279382,125.939276,220.164873,56.932624,55.3813,280.506058,293.785679,238.003846,521.690545,52.351707,201.55457,181.499413,17.828111,33.418134,8.06784,156.272654,26.095839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584.03379,126.977316,114.986281,101.22296,111.376068,164.746987,123.304684,213.277065,54.584777,57.491674,276.203171,289.88383,223.343129,509.756196,49.301978,198.713521,179.320726,17.021797,32.06814,7.711465,151.21453,25.567646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
567.475992,125.514271,112.195521,97.900876,108.320469,162.084597,120.07821,204.594082,48.825588,59.161093,269.434309,279.114442,198.37817,489.605523,46.021347,194.05604,177.057467,16.240973,30.683929,7.427233,138.636217,23.792908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538.707084,124.312045,110.18443,95.567698,104.193302,159.645911,117.230588,197.24525,45.099295,59.863191,262.468733,270.625946,177.342695,472.378699,38.10406,190.038229,174.590516,15.704383,29.749944,6.958897,130.188521,21.724957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495.906528,121.839874,106.278855,91.45657,101.660921,153.238403,112.664808,187.417299,38.593271,60.478043,250.048641,255.982887,153.244671,453.546222,35.802957,180.051949,168.09548,14.688676,28.075316,6.671328,116.655923,20.796938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423.649601,116.205685,98.151804,83.143267,97.487782,142.951065,102.325868,166.765541,31.306881,60.054888,226.21019,227.43213,131.074136,414.850534,32.324596,165.006468,153.043516,13.498813,25.131707,5.733243,94.909656,18.794609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349.623089,108.142155,88.218974,72.587025,87.401609,131.759108,88.643976,141.591421,25.452293,58.908072,193.921606,188.658584,113.915988,359.454143,27.146685,149.112522,135.521379,12.255462,22.259248,4.897966,73.166431,14.431802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270.72162,102.812873,81.087661,65.510951,75.678678,120.923446,73.999443,115.570393,23.665777,57.024111,162.273419,175.483897,108.571867,300.562951,20.752247,134.555048,114.17728,9.918567,18.064058,4.185064,66.204556,11.711848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.134181,100.693387,78.612614,62.892675,68.742417,111.04086,68.280986,106.551436,22.688749,55.164062,146.828983,172.232207,96.379003,275.389371,17.344981,121.625181,105.056195,8.393304,15.723105,3.981666,64.947027,10.239019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.141071,94.908074,73.639495,59.731864,60.418419,106.680335,57.206783,87.027207,17.548572,53.917182,125.393395,155.301084,68.195401,225.712721,15.69085,116.301345,93.316598,7.2874,13.271253,3.603911,56.355085,9.356666,1.616163,1.118408,0.277199,0.620814,1.332808,1.549818,0.818682,0.855348,1.307582,1.395461,1.486797,0.572096
234.251232,79.449711,60.832993,48.740022,49.332773,100.631052,46.27446,66.646274,12.991383,51.658808,112.911056,112.455235,59.513955,170.563897,13.510613,109.897282,84.748178,5.539063,9.716171,2.730426,39.178035,7.211245,21.322806,12.115345,4.491177,6.74154,6.856196,7.811163,10.204781,5.686205,9.346119,6.421253,13.039978,5.383801
